designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 6083698824063465088",6083698824063465088,201.70485167244235,-47.49050394554357,,,,,14.625985,1.0951862,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698785400414336",6083698785400414336,201.69950894791535,-47.498357641284535,,,,,13.989673,1.2386312,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698785400433280",6083698785400433280,201.701803413447,-47.49645034598813,0.2976092631619678,-3.7215303154373647,-7.208551558050173,1.6663163,13.253255,1.2615547,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 6083698785405317376",6083698785405317376,201.69648257854126,-47.49937728648682,,,,,15.079026,1.1693926,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698785405319296",6083698785405319296,201.69860073060457,-47.49646196459649,,,,,13.849605,1.2955647,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698785405326080",6083698785405326080,201.70387866043794,-47.49700391166105,,,,,13.38201,1.2785053,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698789703666688",6083698789703666688,201.69674408107514,-47.49578958430064,,,,,14.996257,1.0240812,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698789703688832",6083698789703688832,201.6994184241878,-47.494126318212544,,,,,16.29569,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698789703688960",6083698789703688960,201.6996531623707,-47.494337345433365,0.771619952275939,-6.538254794881415,-6.981887351464557,5.7503624,14.633199,0.62174416,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 6083698789705128192",6083698789705128192,201.69429367308018,-47.49753499318046,,,,,16.267752,0.9816942,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698789705130496",6083698789705130496,201.6960308650365,-47.498199389380105,,,,,16.791597,1.0133333,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698789705142016",6083698789705142016,201.6976996225586,-47.49615362399683,,,,,16.265495,1.0180693,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698789705142144",6083698789705142144,201.6973705373761,-47.49641082311015,,,,,15.388691,1.0943966,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698789705148160",6083698789705148160,201.70207243834503,-47.498769450957944,,,,,16.247543,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698789705148288",6083698789705148288,201.7026778928593,-47.498767123279706,-0.6678014762489388,-2.1352455101747676,-7.9526161675979345,5.106849,14.87852,1.0768795,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 6083698789705148672",6083698789705148672,201.6986635603977,-47.49529632632859,-1.7577818722673355,-3.958644017449736,-6.572505631509172,2.7379258,15.084063,0.5411873,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 6083698789705153920",6083698789705153920,201.6997573924582,-47.49482802807629,,,,,16.126373,1.1199045,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698789705157632",6083698789705157632,201.70449778386796,-47.49794110418255,,,,,14.460673,1.2194719,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698789705161344",6083698789705161344,201.70138101153222,-47.49361020073326,,,,,15.492282,0.8335495,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698789705161856",6083698789705161856,201.70186544436586,-47.4938628748776,,,,,15.349991,0.8275442,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698789705169280",6083698789705169280,201.70208396386587,-47.4928856229624,-2.280195541733886,-3.849902885795478,-6.730336751099563,4.1167693,16.038046,1.174881,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 6083698789707748480",6083698789707748480,201.6971232786232,-47.49987680351077,,,,,16.193655,1.1280956,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698789707748992",6083698789707748992,201.69669218901802,-47.49991651301461,,,,,15.605155,1.1547852,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698789707762944",6083698789707762944,201.6983842655144,-47.4989476561557,,,,,16.117296,0.9358845,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698789707781888",6083698789707781888,201.70027562003816,-47.49733617737159,,,,,16.233904,1.108139,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698789707790592",6083698789707790592,201.70091814600062,-47.496906413778724,,,,,15.7957735,0.98826313,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698789708624384",6083698789708624384,201.695023616186,-47.50028170948201,,,,,16.03452,0.97435856,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698789708626304",6083698789708626304,201.69436740072538,-47.4985856201393,0.6435816745578029,-3.232618803677749,-5.715489276513074,2.1263795,14.155431,1.1563854,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 6083698789708651136",6083698789708651136,201.70231982734262,-47.495818131082586,0.08918192121433978,-5.296656568781538,-6.8661844711805795,3.1937482,15.194749,1.0502625,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 6083698789728250752",6083698789728250752,201.69227866528573,-47.49859483354169,-0.02514052267793271,-3.319919807941501,-7.547533459128969,2.1966798,15.599677,1.0460949,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 6083698789728921728",6083698789728921728,201.69235103999804,-47.49977621507415,,,,,15.559384,0.69716644,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698789729010432",6083698789729010432,201.6991006701528,-47.4966717650053,,,,,14.258866,1.2860041,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698789729075456",6083698789729075456,201.70332536904715,-47.49794448742069,,,,,16.148125,1.0048943,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698789737552512",6083698789737552512,201.69688793907895,-47.49833628728571,,,,,16.915709,0.91995525,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 6083698789737552640",6083698789737552640,201.69757969670437,-47.49817618613257,,,,,15.606245,1.0681658,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
